uid,pid,ptm,pen,desc,cat,pey,act
67541,747417,BUF,RI-0100,Offensive Holding,2,10,A
67542,747437,DEN,DT-0900,Offensive Pass Interference,2,10,A
67543,747438,BUF,AW-0550,Illegal Use of Hands,5,5,A
67544,747447,DEN,VM-0300,Unsportsmanlike Conduct,6,15,A
67545,747478,HOU,JB-1250,Defensive Holding,5,5,A
67546,747485,NE,SG-0650,Defensive Pass Interference,5,34,A
67547,747513,HOU,JC-3350,Neutral Zone,4,5,A
67548,747519,HOU,BM-1450,Defensive Holding,5,5,A
67549,747525,HOU,BE-0350,False Start,1,5,A
67550,747526,HOU,XS-0100,Offensive Holding,2,10,A
67551,747529,NE,SG-0650,Unnecessary Roughness,6,15,A
67552,747543,HOU,EP-0550,Defensive Holding,5,0,D
67553,747548,HOU,,Illegal Formation,3,5,A
67554,747555,HOU,KJ-0100,Defensive Holding,5,5,A
67555,747566,NE,BB-2250,Offside on Free Kick,3,5,A
67556,747571,HOU,DW-1725,Delay of Game,3,5,A
67557,747576,NE,KV-0075,Illegal Contact,5,5,A
67558,747586,HOU,,12 On-field,3,5,A
67559,747621,HOU,RG-1870,Offensive Pass Interference,2,10,A
67560,747622,NE,JJ-4565,Defensive Holding,5,0,D
67561,747631,NE,DA-1425,Offensive Holding,2,10,A
67562,747655,MIA,DG-1275,Encroachment,4,5,A
67563,747656,MIA,DG-1275,Neutral Zone,4,5,A
67564,747657,NYJ,JM-2900,False Start,1,5,A
67565,747668,MIA,JJ-0650,False Start,1,5,A
67566,747669,MIA,LT-0950,False Start,1,5,A
67567,747679,NYJ,MC-1350,Defensive Holding,5,5,A
67568,747681,MIA,KS-2350,Illegal Block Above the Waist,7,10,A
67569,747687,NYJ,JK-0250,Offensive Pass Interference,2,10,A
67570,747691,NYJ,BQ-0200,Offensive Holding,2,10,A
67571,747691,NYJ,JC-1000,Offensive Holding,2,0,D
67572,747692,NYJ,JC-1000,Offensive Holding,2,10,A
67573,747709,NYJ,JS-6050,Offensive Holding,2,10,A
67574,747709,NYJ,MC-1350,Illegal Block Above the Waist,7,0,D
67575,747711,NYJ,WJ-0275,Offensive Holding,2,10,A
67576,747746,MIA,WH-0300,Illegal Formation,3,5,A
67577,747767,MIA,XH-0100,Defensive Pass Interference,5,11,A
