uid,gid,tname,player,pos,snp
19856,4528,JAC,AC-2250,RCB,64
19857,4528,JAC,CC-0200,RDE,63
19858,4528,JAC,YN-0100,LDE,59
19859,4528,JAC,MJ-0030,DT,58
19860,4528,JAC,AJ-1150,NT,41
19861,4528,JAC,DF-1481,LDE,35
19862,4528,JAC,SD-0531,DT,21
19863,4528,JAC,EA-0525,NT,17
19864,4528,JAC,DS-3125,LDE,16
19865,4528,JAC,PP-0800,MLB,8
19866,4528,JAC,LM-1020,SLB,6
19867,4528,JAC,JW-4925,SS,4
19868,4528,HOU,BG-0500,RT,79
19869,4528,HOU,DH-3950,LWR,79
19870,4528,HOU,NM-0275,C,79
19871,4528,HOU,KL-0075,LT,72
19872,4528,HOU,LM-1150,RB,64
19873,4528,HOU,BM-2350,RWR,63
19874,4528,HOU,XS-0100,LG,59
19875,4528,HOU,SA-0850,TE,57
19876,4528,HOU,JA-1050,RG,51
19877,4528,HOU,TE-0350,RB,50
19878,4528,HOU,GM-0025,C,46
19879,4528,HOU,DW-1725,QB,48
19880,4528,HOU,BE-0350,LWR,46
19881,4528,HOU,TS-0550,QB,31
19882,4528,HOU,CF-0375,TE,24
19883,4528,HOU,RG-1870,TE,10
19884,4528,HOU,CC-1900,LT,7
19885,4528,HOU,DF-1362,RB,2
19886,4528,HOU,AJ-1450,LWR,1
19887,4528,HOU,BM-1450,RILB,59
19888,4528,HOU,WM-0550,SLB,55
19889,4528,HOU,KJ-0650,RCB,53
19890,4528,HOU,JC-3350,OLB,53
19891,4528,HOU,AH-0250,FS,52
19892,4528,HOU,JW-1100,LDE,50
19893,4528,HOU,DR-0625,NT,46
19894,4528,HOU,KJ-0100,RCB,45
19895,4528,HOU,CM-2850,SS,44
19896,4528,HOU,JJ-5000,LCB,42
19897,4528,HOU,JH-3220,RDE,38
19898,4528,HOU,BC-3100,LB,32
19899,4528,HOU,ZC-0300,RILB,28
19900,4528,HOU,BD-1100,NT,25
19901,4528,HOU,MG-0600,FS,22
19902,4528,HOU,CC-4550,RDE,20
19903,4528,HOU,EP-0550,SS,14
19904,4528,HOU,DC-2812,LILB,9
19905,4528,HOU,BP-0575,RILB,5
19906,4528,HOU,KD-1475,SS,5
19907,4528,HOU,BS-0850,OLB,5
19908,4528,HOU,MB-5050,LCB,2
19909,4529,NYJ,JC-1000,LG,58
19910,4529,NYJ,BS-1750,RT,58
19911,4529,NYJ,BW-2670,RG,58
19912,4529,NYJ,KB-0750,LT,58
19913,4529,NYJ,JM-2900,QB,58
19914,4529,NYJ,WJ-0275,C,58
19915,4529,NYJ,RA-1125,LWR,57
19916,4529,NYJ,JK-0250,RWR,55
19917,4529,NYJ,AS-3550,LWR,35
19918,4529,NYJ,WT-0600,TE,37
19919,4529,NYJ,MF-1300,RB,35
19920,4529,NYJ,BP-1200,RB,30
19921,4529,NYJ,ET-0375,TE,13
19922,4529,NYJ,BQ-0200,RT,12
19923,4529,NYJ,CH-1050,RWR,12
19924,4529,NYJ,CP-0775,LWR,1
19925,4529,NYJ,MM-1725,FS,58
19926,4529,NYJ,DD-0250,ILB,58
19927,4529,NYJ,JA-0150,SS,58
19928,4529,NYJ,MC-1350,RCB,58
19929,4529,NYJ,BS-2300,LCB,58
19930,4529,NYJ,LW-1350,LDE,58
19931,4529,NYJ,MW-1800,RDE,58
19932,4529,NYJ,DL-0550,ILB,58
19933,4529,NYJ,SM-2200,NT,47
19934,4529,NYJ,KE-0050,LDE,43
19935,4529,NYJ,JJ-1675,OLB,42
19936,4529,NYJ,JM-1140,OLB,38
19937,4529,NYJ,JB-7950,LCB,30
19938,4529,NYJ,MP-0875,NT,19
19939,4529,NYJ,CP-0850,DL,17
19940,4529,NYJ,JS-6050,ILB,15
19941,4529,NYJ,TB-2750,SS,9
19942,4529,NYJ,DD-2050,OLB,10
19943,4529,NYJ,DR-1950,RCB,1
19944,4529,BUF,RI-0100,LG,77
19945,4529,BUF,JM-4950,RT,77
19946,4529,BUF,JM-4550,RG,77
19947,4529,BUF,EW-1600,C,77
19948,4529,BUF,TT-0500,QB,77
19949,4529,BUF,JM-1550,LWR,67
19950,4529,BUF,ZJ-0100,RWR,66
19951,4529,BUF,CC-2100,TE,65
19952,4529,BUF,CG-1250,LT,56
19953,4529,BUF,LM-1000,RB,54
19954,4529,BUF,NO-0150,TE,43
19955,4529,BUF,AH-3600,RWR,39
19956,4529,BUF,MT-1300,FB,23
19957,4529,BUF,DD-0687,LT,21
19958,4529,BUF,PD-0700,FB,20
19959,4529,BUF,LT-0275,TE,6
19960,4529,BUF,BT-0300,LWR,2
19961,4529,BUF,PB-0750,MLB,58
19962,4529,BUF,MH-4000,SS,58
19963,4529,BUF,JP-4150,FS,58
19964,4529,BUF,TW-1725,LCB,58
19965,4529,BUF,RH-3300,WLB,57
19966,4529,BUF,EG-0050,RCB,47
19967,4529,BUF,LJ-1150,RCB,47
19968,4529,BUF,JH-5900,RE,46
