uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp,nflid
145350,4528,CC-4550,1,1,0,0,0,0,0,0,0,0,0,0,0,20,1.5,0,19,3,2017,HOU,RDE,95,1,2552602
145351,4528,SD-0531,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0.5,0,17,2,2017,JAC,DT,92,2,2555241
145352,4528,BS-0850,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,2,2017,HOU,OLB,57,2,2556673
145353,4528,BP-0575,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0.5,0,5,3,2017,HOU,RILB,52,2,2552730
145354,4528,LM-1020,1,2,1.5,0,0,0,0,0,0,0,0,0,0,6,5,1.5,12,5,2017,JAC,SLB,55,2,2539662
145355,4529,DL-0550,4,6,1,0,0,0,1,0,0,0,0,0,15,58,10,1,14,2,2017,NYJ,ILB,58,1,2555322
145356,4529,MM-1725,4,3,0,0,0,0,0,0,0,0,0,0,0,58,5.5,0,1,1,2017,NYJ,FS,26,1,2557995
145357,4529,DD-0250,6,8,0.5,0,0,0,0,0,0,0,0,0,0,58,11,0.5,17,6,2017,NYJ,ILB,56,1,2533008
145358,4529,KE-0050,2,2,0,0,0,0,1,0,0,0,0,0,0,43,4,0,17,4,2017,NYJ,LDE,94,2,2543484
145359,4529,JA-0150,3,2,0,0,0,0,1,0,0,0,0,0,0,58,5,0,1,1,2017,NYJ,SS,33,1,2557979
145360,4529,SM-2200,1,3,0,0,0,0,0,0,0,0,0,0,0,47,2.5,0,12,9,2017,NYJ,NT,99,1,2507590
145361,4529,CP-0850,0,2,0,0,0,0,0,0,0,0,0,0,0,17,1,0,1,2,2017,NYJ,RDE,91,2,2556647
145362,4529,MP-0875,2,3,0,0,0,0,0,0,0,0,0,0,3,19,3.5,0,9,4,2017,NYJ,NT,98,2,2550242
145363,4529,JM-1140,3,1,0.5,0,0,0,0,0,0,0,0,0,0,38,4.5,0.5,5,5,2017,NYJ,OLB,95,1,2541864
145364,4529,MW-1800,0,2,0,0,0,0,1,0,0,0,0,0,0,58,2,0,16,7,2017,NYJ,RDE,96,1,2495490
145365,4529,JB-7950,0,0,0,0,0,1,0,0,0,0,0,0,0,30,2,2,8,2,2017,NYJ,LCB,32,2,2555313
145366,4529,EG-0050,3,2,0,0,0,0,0,0,0,0,0,0,0,47,4,0,12,4,2017,BUF,RCB,28,1,2543823
145367,4529,SL-0350,1,2,0,0,0,0,1,0,0,0,0,0,0,37,3,0,11,2,2017,BUF,LE,90,1,2555252
145368,4529,RH-3300,8,5,0,0,0,0,0,0,0,0,0,0,0,57,10.5,0,6,9,2017,BUF,WILB,50,1,2507644
145369,4529,MC-1350,1,2,0,0,0,0,0,0,0,0,0,0,24,58,2,0,9,6,2017,NYJ,RCB,21,1,2533059
145370,4529,JJ-1675,2,1,0,0,0,0,0,0,0,0,0,0,0,42,2.5,0,15,2,2017,NYJ,OLB,48,1,2555256
145371,4529,JH-5900,1,2,0,0,0,0,0,0,0,0,0,0,0,46,2,0,18,8,2017,BUF,RE,55,1,496796
145372,4529,JP-4150,2,1,1,0,0,1,1,0,0,0,0,0,0,58,7.5,3,7,5,2017,BUF,FS,21,1,2539290
145373,4529,PB-0750,0,3,0,0,0,0,0,0,0,0,0,0,0,58,1.5,0,17,4,2017,BUF,MLB,52,1,2543814
145374,4529,LJ-1150,2,3,0,0,0,0,0,0,0,0,0,0,0,47,3.5,0,11,6,2017,BUF,RCB,24,2,2532878
145375,4529,MM-3168,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,2017,BUF,WILB,58,2,2557969
145376,4529,LW-1350,0,4,0,0,0,0,0,0,0,0,0,0,0,58,2,0,17,3,2017,NYJ,LDE,92,1,2552486
145377,4529,TB-2750,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,4,2017,NYJ,SS,23,2,2543712
145378,4529,JS-6050,1,1,0,0,0,0,0,0,0,0,0,0,0,15,1.5,0,7,6,2017,NYJ,ILB,51,2,2535867
145379,4529,MH-4000,3,0,0,0,0,1,0,0,0,0,0,0,0,58,5,2,20,5,2017,BUF,SS,23,1,2539240
145380,4529,TW-1725,4,0,0,0,0,0,2,0,0,0,0,0,0,58,6,0,1,1,2017,BUF,LCB,27,1,2557867
145381,4529,LA-0200,1,2,0,0,0,0,0,0,0,0,0,0,0,25,2,0,17,13,2017,BUF,MLB,57,2,2506268
145382,4529,DD-2050,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0.5,0,1,1,2017,NYJ,OLB,49,2,2558255
145383,4529,AW-0550,0,2,0,0,0,0,0,0,0,0,0,0,5,15,1,0,15,2,2017,BUF,DT,92,2,2555235
145384,4529,BS-2300,2,1,0,0,0,0,0,0,0,0,0,0,0,58,2.5,0,15,7,2017,NYJ,LCB,41,1,2495343
145385,4529,EY-0100,0,3,0,0,0,0,0,0,0,0,0,0,0,11,1.5,0,1,2,2017,BUF,LE,75,2,2556714
145386,4529,KW-1600,1,1,0,0,0,0,0,0,0,0,0,0,0,43,1.5,0,16,12,2017,BUF,DT,95,1,2506931
145387,4530,AJ-0050,4,0,0,0,0,0,2,0,0,0,42,0,24,62,6,0,1,1,2017,TEN,RCB,25,2,2558065
145388,4530,KB-2850,8,0,0,0,0,0,0,0,0,0,0,0,0,64,8,0,17,2,2017,TEN,FS,31,1,2555158
145389,4530,BI-0150,1,0,0,0,0,0,1,0,0,0,0,0,20,63,2,0,18,6,2017,OAK,SLB,51,1,2532871
145390,4530,KJ-1150,6,3,0,0,0,0,1,0,0,0,0,0,0,64,8.5,0,13,2,2017,OAK,SS,42,1,2555342
145391,4530,JE-0450,1,1,0.5,0,0,0,0,0,0,0,0,0,0,21,2.5,0.5,18,4,2017,OAK,NT,78,1,2543812
145392,4530,ME-0425,1,2,0.5,0,0,0,0,0,0,0,0,0,0,32,3,0.5,4,3,2017,OAK,RDE,97,1,2553433
