uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp,nflid
94329,4528,CI-0300,0,0,0,0,0,9,3,42,0,2,1,11,0,0,0,0,0,0,0,26,5.3,5.8,6.3,12,8,2017,JAC,RB,33,2,2507999
94330,4528,TE-0350,0,0,0,0,0,3,2,8,0,5,4,18,0,3,49,0,0,0,0,50,2.6,4.6,6.6,7,2,2017,HOU,RB,34,3,2555234
94331,4528,SA-0850,0,0,0,0,0,0,0,0,0,5,2,14,0,0,0,0,0,0,0,57,1.4,2.4,3.4,16,2,2017,HOU,TE,89,3,2556463
94332,4528,JO-0150,0,0,0,0,0,0,0,0,0,1,1,18,0,0,0,0,0,0,0,1,1.8,2.3,2.8,15,3,2017,JAC,TE,86,3,2553318
94333,4528,KC-1550,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,2017,JAC,RWR,84,2,2559153
94334,4528,BE-0350,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,46,0,0,0,1,4,2017,HOU,RWR,12,3,2543646
94335,4528,DF-1362,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.4,0.4,1,1,2017,HOU,RB,27,4,2557994
94336,4528,RG-1870,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,19,5,2017,HOU,TE,84,2,2541316
94337,4528,CF-0375,0,0,0,0,0,0,0,0,0,4,4,46,0,0,0,0,0,0,0,24,4.6,6.6,8.6,18,4,2017,HOU,TE,87,1,2543721
94338,4528,AB-1200,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,0,7,1.2,1.7,2.2,14,8,2017,JAC,LWR,17,3,497270
94339,4528,TB-1720,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,26,6.1,6.6,7.1,1,5,2017,JAC,FB,40,1,2540225
94340,4528,DW-1725,23,12,102,1,1,2,2,16,0,0,0,0,0,0,0,0,1,0,0,48,5.68,6.68,7.68,1,1,2017,HOU,QB,4,2,2558063
94341,4528,BM-2350,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63,0,0,0,11,2,2017,HOU,RWR,13,2,2555348
94342,4529,TT-0500,28,16,224,1,2,8,3,38,0,0,0,0,0,0,0,0,0,0,0,77,18.76,19.76,19.76,16,7,2017,BUF,QB,5,1,2495240
94343,4529,ZJ-0100,0,0,0,0,0,0,0,0,0,4,1,21,0,0,0,0,0,0,0,66,2.1,2.6,3.1,1,1,2017,BUF,RWR,11,1,2557863
94344,4529,LM-1000,0,0,0,0,0,22,8,110,0,6,5,49,0,0,0,0,0,0,0,54,15.9,18.4,23.9,16,9,2017,BUF,RB,25,1,79607
94345,4529,CC-2100,0,0,0,0,0,0,0,0,0,9,4,53,1,0,0,0,0,5,0,65,11.3,13.3,15.3,16,7,2017,BUF,TE,85,1,2495139
94346,4529,NO-0150,0,0,0,0,0,0,0,0,0,2,1,22,0,0,0,0,0,0,0,43,2.2,2.7,3.2,17,3,2017,BUF,TE,84,2,2552403
94347,4529,MT-1300,0,0,0,0,0,12,5,42,1,1,1,12,0,0,0,0,0,0,0,23,11.4,11.9,12.4,17,10,2017,BUF,FB,35,2,2507428
94348,4529,JM-2900,39,26,187,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,58,11.48,13.48,13.48,6,16,2017,NYJ,QB,15,1,2505076
94349,4529,RA-1125,0,0,0,0,0,0,0,0,0,8,4,22,0,0,0,0,0,0,1,57,4.2,6.2,8.2,17,2,2017,NYJ,LWR,11,1,2556462
94350,4529,MF-1300,0,0,0,0,0,6,2,16,0,5,3,20,0,0,0,0,0,0,0,35,3.6,5.1,6.6,15,10,2017,NYJ,RB,22,1,234
94351,4529,AS-3550,0,0,0,0,0,0,0,0,0,5,2,10,0,0,0,0,0,0,0,35,1,2,3,1,1,2017,NYJ,LWR,18,2,2558150
94352,4529,BT-0300,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0,2,0,0,0,13,9,2017,BUF,LWR,15,2,81306
94353,4529,KR-0312,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0,0,0,0,0,3,2,2017,NYJ,RWR,84,3,2556661
