pid,punter,pgro,pnet,ptb,pr,pry,pfc
743132,RS-0150,49,49,0,TA-1050,0,0
743152,RS-0150,49,49,0,,0,0
743156,JH-3230,47,47,0,,0,0
743160,RS-0150,51,51,0,,0,0
743167,JH-3230,46,46,0,QB-0250,0,0
743179,JH-3230,43,43,0,QB-0250,0,0
743196,RS-0150,53,53,0,,0,0
743209,MP-0050,53,44,0,TT-0450,9,0
743218,BP-0750,32,32,0,CM-1225,0,1
743222,MP-0050,58,58,0,TT-0450,0,1
743237,BP-0750,40,36,0,CM-1225,4,0
743241,MP-0050,44,44,0,,0,0
743246,BP-0750,49,28,0,CM-1225,21,0
743297,BP-0750,42,39,0,CM-1225,3,0
743355,JR-3700,53,53,0,TD-0737,0,0
743368,JR-3700,40,40,0,,0,0
743380,JV-0550,41,41,0,TL-1025,0,1
743384,JR-3700,59,59,0,TD-0737,0,0
743393,JV-0550,45,45,0,TL-1025,0,1
743400,JR-3700,52,52,0,TD-0737,0,1
743404,JV-0550,57,50,0,TL-1025,7,0
743408,JR-3700,40,40,0,,0,0
743419,JV-0550,32,32,0,TL-1025,0,1
743436,JV-0550,44,44,0,TL-1025,0,1
743474,JR-3700,31,31,0,,0,0
743520,CJ-2100,38,37,0,DH-1800,1,0
743524,BW-2625,49,49,0,RS-3525,0,1
743538,BW-2625,41,41,0,RS-3525,0,1
743560,BW-2625,45,45,0,,0,0
743567,CJ-2100,35,35,0,DH-1800,0,1
743573,BW-2625,36,36,0,,0,0
743586,BW-2625,43,43,0,RS-3525,0,0
743619,CJ-2100,32,32,0,DH-1800,0,1
743630,BW-2625,55,30,1,,0,0
743641,CJ-2100,32,32,0,DH-1800,0,1
743704,TM-3300,57,44,0,MS-1300,13,0
743709,RQ-0050,52,52,0,TG-0900,0,0
743734,TM-3300,68,68,0,,0,0
743761,TM-3300,46,48,0,MS-1300,-2,0
743768,RQ-0050,35,35,0,TG-0900,0,1
743833,RD-1187,51,51,0,TB-1060,0,1
743839,DK-0350,43,43,0,,0,0
743870,RD-1187,53,56,0,TB-1060,-3,0
743877,DK-0350,59,28,0,IM-0125,31,0
743896,DK-0350,30,21,0,IM-0125,9,0
743918,DK-0350,62,54,0,IM-0125,8,0
743965,DK-0350,36,36,0,,0,0
743969,RD-1187,40,40,0,TB-1060,0,1
743984,SL-0400,58,25,0,AJ-1200,33,0
743990,KH-2600,58,58,0,,0,0
743994,SL-0400,53,45,0,AJ-1200,8,0
743999,KH-2600,31,31,0,TE-0350,0,1
744005,SL-0400,42,16,0,AE-1037,26,0
744028,SL-0400,55,48,0,AE-1037,7,0
744035,KH-2600,45,38,0,TE-0350,7,0
744039,SL-0400,51,51,0,AE-1037,0,1
744043,KH-2600,61,61,0,,0,0
744090,SL-0400,40,40,0,AE-1037,0,1
744097,KH-2600,46,45,0,TE-0350,1,0
744101,SL-0400,52,52,0,AE-1037,0,1
744107,KH-2600,52,45,0,TE-0350,7,0
744111,SL-0400,59,45,0,AE-1037,14,0
744115,KH-2600,41,41,0,TE-0350,0,1
744143,SL-0400,30,20,0,AE-1037,10,0
744149,AL-0500,49,33,0,QB-0250,16,0
744170,AL-0500,43,37,0,QB-0250,6,0
744191,RS-0150,53,53,0,KW-1250,0,1
744214,RS-0150,48,48,0,,0,0
744234,RS-0150,39,39,0,,0,0
744238,AL-0500,55,54,0,QB-0250,1,0
744246,RS-0150,31,31,0,KW-1250,0,1
744253,AL-0500,42,36,0,QB-0250,6,0
744286,RS-0150,46,46,0,KW-1250,0,1
744298,RS-0150,42,42,0,KW-1250,0,1
744303,AL-0500,43,43,0,,0,0
744307,RS-0150,44,38,0,KW-1250,6,0
744337,CS-0850,57,52,0,CM-1225,5,0
744346,MP-0050,35,35,0,KC-1250,0,1
744350,CS-0850,52,43,0,CM-1225,9,0
744357,MP-0050,37,37,0,,0,0
744364,CS-0850,48,44,0,CM-1225,4,0
744382,CS-0850,41,41,0,CM-1225,0,1
744388,MP-0050,40,40,0,,0,0
744401,MP-0050,43,41,0,KC-1250,2,0
744406,CS-0850,43,42,0,CM-1225,1,0
744411,MP-0050,55,55,0,KC-1250,0,0
744418,CS-0850,56,45,0,CM-1225,11,0
744425,MP-0050,39,39,0,,0,0
744496,BA-0850,42,42,0,TC-1975,0,0
744535,PO-0050,54,29,1,,0,0
744549,PO-0050,63,46,0,BR-0250,17,0
744565,PO-0050,51,51,0,,0,0
744599,BA-0850,54,44,0,TC-1975,10,0
744610,BA-0850,50,50,0,TC-1975,0,1
744629,BC-2000,49,49,0,LW-0700,0,1
744636,SK-0600,37,37,0,JP-1975,0,1
744671,BC-2000,38,33,0,MC-0150,5,0
744692,SK-0600,54,46,0,JP-1975,8,0
744697,BC-2000,55,44,0,MC-0150,11,0
744720,SK-0600,33,33,0,,0,0
744734,SK-0600,63,63,0,,0,0
744739,BC-2000,67,53,0,MC-0150,14,0
744781,SK-0600,48,23,1,,0,0
744801,JB-3275,46,46,0,,0,0
744809,RQ-0050,42,43,0,ER-0462,-1,0
744828,RQ-0050,38,38,0,ER-0462,0,1
744853,JB-3275,41,29,0,MS-1300,12,0
744857,RQ-0050,44,44,0,,0,0
744863,JB-3275,36,36,0,MS-1300,0,1
744867,RQ-0050,54,54,0,ER-0462,0,1
744877,JB-3275,37,37,0,MS-1300,0,1
744922,RQ-0050,31,31,0,ER-0462,0,1
744934,JB-3275,33,33,0,,0,0
744941,RQ-0050,55,48,0,ER-0462,7,0
745005,TM-3300,38,38,0,PC-0300,0,1
745032,RA-0850,57,41,0,TG-0900,16,0
745075,TM-3300,32,32,0,PC-0300,0,1
745086,RA-0850,27,27,0,,0,0
745108,TM-3300,51,51,0,PC-0300,0,0
745142,RA-0850,27,27,0,,0,0
745180,DC-3200,39,14,1,,0,0
745190,DJ-2800,49,24,1,,0,0
745200,DC-3200,47,47,0,DS-3300,0,1
745207,DJ-2800,49,49,0,,0,0
745211,DC-3200,51,41,0,DS-3300,10,0
745227,DJ-2800,29,29,0,TH-1750,0,1
745234,DC-3200,30,30,0,DS-3300,0,1
745266,DC-3200,60,35,1,,0,0
745281,DJ-2800,42,34,0,TH-1750,8,0
745310,BK-0700,42,38,0,ML-0650,4,0
745339,BN-0700,52,43,0,AJ-0050,9,0
745344,BK-0700,42,42,0,,0,0
745348,BN-0700,53,53,0,AJ-0050,0,1
745352,BK-0700,41,41,0,,0,0
745405,BN-0700,59,13,0,AJ-0050,46,0
745415,BN-0700,43,43,0,,0,0
745429,BN-0700,39,39,0,DB-0975,0,1
745475,DK-0350,49,51,0,JG-2950,-2,0
745497,DK-0350,58,49,0,JG-2950,9,0
745501,MH-0050,53,30,0,TB-1060,23,0
745517,MH-0050,19,19,0,,0,0
745532,MH-0050,58,33,1,,0,0
745590,DK-0350,23,23,0,,0,0
745612,DK-0350,40,26,0,JG-2950,14,0
745631,MK-0760,55,44,0,KR-0312,11,0
745635,LE-0025,39,39,0,,0,0
745654,LE-0025,28,28,0,TC-0385,0,1
745679,MK-0760,46,46,0,KR-0312,0,1
745695,MK-0760,55,55,0,KR-0312,0,0
745734,LE-0025,52,39,0,JR-2075,13,0
745777,CJ-2100,44,44,0,,0,0
745793,CJ-2100,54,54,0,,0,0
745810,CJ-2100,39,14,1,,0,0
745839,CJ-2100,50,30,0,IM-0125,20,0
745913,RD-1187,48,48,0,,0,0
745917,CJ-2100,62,62,0,IM-0125,0,0
745927,RD-1187,35,35,0,,0,0
745940,RD-1187,46,27,0,RS-3525,19,0
745979,BP-0750,49,49,0,TL-1025,0,1
745983,JR-3700,54,43,0,TT-0450,11,0
746000,BP-0750,47,47,0,,0,0
746009,JR-3700,57,36,0,TT-0450,21,0
746014,BP-0750,29,29,0,TL-1025,0,1
746021,JR-3700,37,37,0,TT-0450,0,1
746032,JR-3700,44,36,0,TT-0450,8,0
746050,BP-0750,45,45,0,TL-1025,0,0
746063,JR-3700,34,34,0,,0,0
746067,BP-0750,47,47,0,,0,0
746071,JR-3700,46,46,0,TT-0450,0,1
746077,BP-0750,39,39,0,TL-1025,0,0
746081,JR-3700,37,37,0,,0,0
746110,BP-0750,51,51,0,TL-1025,0,0
746126,JH-3230,33,33,0,,0,0
746145,JH-3230,55,55,0,JC-5680,0,0
746176,TW-1175,54,42,0,TA-1050,12,0
746197,JH-3230,49,36,0,JC-5680,13,0
