pid,psr,trg,loc,yds,comp,succ,spk,dfb
743164,JG-1850,TG-1950,SL,3,1,0,0,
743170,JB-5725,DM-2775,DL,50,1,1,0,
743177,JG-1850,TG-1950,SM,19,1,1,0,
743178,JG-1850,PC-0625,DR,0,0,0,0,
743184,JG-1850,CK-1300,DR,28,1,1,0,
743186,JG-1850,TH-1550,SM,9,1,1,0,
743193,JB-5725,QB-0250,SM,0,0,0,0,TS-1950
743195,JB-5725,MH-2150,SR,1,1,0,0,
743198,SM-0425,DC-0775,SL,12,1,1,0,
743204,CN-0500,CM-1225,SL,7,1,1,0,
743207,CN-0500,CM-1225,SM,0,0,0,0,EM-1200
743208,CN-0500,GO-0100,SL,0,0,0,0,
743210,BH-1900,KJ-1400,SM,12,1,1,0,
743213,BH-1900,GK-0075,SL,13,1,1,0,
743216,BH-1900,PG-0100,SM,11,1,1,0,
743217,BH-1900,MG-1050,DR,0,0,0,0,
743221,CN-0500,KB-0950,SL,0,0,0,0,RF-1050
743224,BH-1900,PG-0100,SR,12,1,1,0,
743227,CN-0500,CM-1225,SL,-3,1,0,0,
743229,CN-0500,RS-0975,DL,40,1,1,0,
743236,BH-1900,PG-0100,SR,0,0,0,0,DW-4750
743238,CN-0500,DF-2200,SR,4,1,1,0,
743240,CN-0500,KB-0950,SM,0,0,0,0,
743242,BH-1900,MG-1050,DL,0,0,0,0,
743252,CN-0500,KB-0950,DL,0,0,0,0,
743254,BH-1900,CH-5000,SR,4,1,0,0,
743255,BH-1900,MG-1050,SR,6,1,1,0,
743257,BH-1900,MG-1050,SL,1,1,0,0,
743258,BH-1900,GK-0075,SR,0,1,0,0,
743262,CN-0500,CM-1225,SM,0,0,0,0,
743263,CN-0500,CM-1225,SR,15,1,1,0,
743265,CN-0500,ED-0400,DR,0,0,0,0,
743266,CN-0500,KB-0950,SR,0,0,0,0,
743269,BH-1900,KJ-1400,SL,0,0,0,0,
743270,BH-1900,PG-0100,SR,21,1,1,0,
743272,BH-1900,GK-0075,SL,6,1,1,0,
743273,BH-1900,CH-5000,SR,2,1,0,0,
743275,CN-0500,GO-0100,SR,0,0,0,0,
743276,CN-0500,DB-6375,SR,0,0,0,0,
743278,CN-0500,CM-1225,SR,16,1,1,0,
743279,CN-0500,GO-0100,SR,1,1,0,0,
743280,CN-0500,KB-0950,DL,25,1,1,0,
743281,CN-0500,,NL,0,0,0,1,
743284,BH-1900,MG-1050,SR,14,1,1,0,
743285,BH-1900,GK-0075,SM,0,0,0,0,
743291,CN-0500,JS-6700,SR,9,1,1,0,
743295,BH-1900,CH-5000,SL,3,1,0,0,
743296,BH-1900,PG-0100,SM,0,0,0,0,
743299,CN-0500,DF-2200,SR,16,1,1,0,
743300,CN-0500,JS-6700,SL,8,1,1,0,
743302,CN-0500,RS-0975,SR,13,1,1,0,
743304,CN-0500,GO-0100,DM,17,1,1,0,
743310,BH-1900,KJ-1400,SL,5,1,1,0,
743311,BH-1900,PG-0100,SR,11,1,1,0,
743312,BH-1900,PG-0100,DL,0,0,0,0,
743313,BH-1900,AR-1200,SL,7,1,1,0,
743314,BH-1900,AR-1200,SR,0,0,0,0,
743315,BH-1900,PG-0100,SL,22,1,1,0,
743316,BH-1900,TT-0450,SR,8,1,1,0,
743318,BH-1900,PG-0100,SR,0,0,0,0,
743323,CN-0500,CM-1225,SL,3,1,0,0,
743326,BH-1900,KJ-1400,SL,0,0,0,0,DW-4750
743327,BH-1900,CH-5000,SL,6,1,1,0,
743328,BH-1900,PG-0100,SL,4,1,1,0,
743329,BH-1900,GK-0075,SR,5,1,1,0,
743330,BH-1900,GK-0075,SL,3,1,1,0,
743333,BH-1900,CH-5000,SR,10,1,1,0,
743334,BH-1900,MG-1050,SR,0,0,0,0,
743336,BH-1900,CH-5000,SL,7,1,0,0,
743352,RW-3850,JG-2900,SL,0,0,0,0,
743357,AR-1300,JN-0900,SR,10,1,1,0,
743358,AR-1300,RC-1500,SL,0,1,0,0,
743359,AR-1300,RC-1500,SR,14,1,1,0,
743361,AR-1300,MB-1800,SM,0,0,0,0,BW-0150
743362,AR-1300,JN-0900,SL,13,1,1,0,
743363,AR-1300,RC-1500,SM,29,1,1,0,
743364,AR-1300,LK-0200,SM,0,0,0,0,
743367,RW-3850,TM-1787,SM,0,0,0,0,KC-1225
743374,AR-1300,RC-1500,SL,10,1,1,0,
743375,AR-1300,LK-0200,SM,9,1,1,0,
743377,AR-1300,DA-0212,DL,0,0,0,0,
743378,AR-1300,DA-0212,DL,0,0,0,0,
743383,RW-3850,JG-2900,SL,6,1,0,0,
743385,AR-1300,MB-1800,SR,0,0,0,0,
743386,AR-1300,DA-0212,SL,13,1,1,0,
743387,AR-1300,DA-0212,SL,13,1,1,0,
743390,AR-1300,JN-0900,SR,1,1,0,0,
743394,RW-3850,PR-0150,SL,6,1,1,0,
743395,RW-3850,JG-2900,SL,3,1,1,0,
743396,RW-3850,CC-0750,SR,10,1,1,0,
743398,RW-3850,LW-1450,SR,0,0,0,0,
743399,RW-3850,TL-1025,DR,0,0,0,0,
743403,AR-1300,RC-1500,SR,0,0,0,0,
743406,RW-3850,PR-0150,DL,0,0,0,0,
743407,RW-3850,JG-2900,SR,-1,1,0,0,
743410,AR-1300,TM-3150,SR,5,1,0,0,
743411,AR-1300,MB-1800,SM,12,1,1,0,
743414,AR-1300,DA-0212,DR,21,1,1,0,
743415,AR-1300,DA-0212,DL,0,0,0,0,ET-0200
743416,AR-1300,RC-1500,SL,3,1,0,0,
743417,AR-1300,RC-1500,SR,0,0,0,0,
743423,RW-3850,DB-0500,DR,34,1,1,0,
743425,RW-3850,TM-1787,SM,0,0,0,0,
743426,RW-3850,TL-1025,SM,0,0,0,0,QR-0100
743430,AR-1300,JN-0900,SL,9,1,1,0,
