uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
106208,4545,744986,NO,1,KOFF,1,2,53,38,7,3,0,2,0,9,3,25,3,2,0,0,34,FG
106209,4545,744994,NE,2,KOFF,1,2,9,25,5,3,0,2,0,4,2,71,3,2,0,0,75,TD
106210,4545,745001,NO,2,KOFF,1,1,20,28,3,0,0,0,0,0,0,11,3,2,0,10,1,PUNT
106211,4545,745006,NE,3,PUNT,1,3,53,33,9,5,1,3,0,20,4,47,5,3,0,0,67,TD
106212,4545,745017,NO,3,KOFF,1,3,24,20,9,6,1,3,0,14,3,61,6,4,5,0,80,TD
106213,4545,745029,NE,4,KOFF,2,1,21,25,3,0,0,0,0,0,0,-5,3,1,0,0,-5,PUNT
106214,4545,745033,NO,4,PUNT,2,2,13,39,7,1,0,1,0,3,2,42,4,1,5,5,45,FG
106215,4545,745043,NE,5,KOFF,2,3,31,25,6,5,1,3,0,9,3,66,3,3,0,0,75,TD
106216,4545,745051,NO,5,KOFF,2,2,24,29,6,3,0,1,0,-1,1,47,5,3,0,0,46,DWNS
106217,4545,745057,NE,6,DWNS,2,2,23,25,9,5,1,2,0,18,3,57,5,4,0,10,65,FG
106218,4545,745067,NO,6,KOFF,3,3,51,25,8,3,1,1,0,12,3,20,5,2,0,0,32,PUNT
106219,4545,745076,NE,7,PUNT,3,3,35,11,8,3,0,1,0,7,4,16,4,2,10,0,33,PUNT
106220,4545,745087,NO,7,PUNT,3,2,39,34,7,3,1,1,0,14,3,21,3,1,0,0,35,MFG
106221,4545,745094,NE,8,MFG,3,4,15,39,9,4,2,1,0,21,4,34,4,3,0,0,55,FG
106222,4545,745104,NO,8,KOFF,3,1,21,33,3,1,0,0,0,0,0,15,3,2,0,10,5,PUNT
106223,4545,745109,NE,9,PUNT,4,5,30,11,9,6,0,3,0,11,2,85,6,5,0,16,80,FG
106224,4545,745121,NO,9,KOFF,4,3,46,25,10,7,1,4,0,2,1,73,9,7,0,0,75,TD
106225,4545,745133,NE,10,KOFF,4,3,59,56,7,4,2,0,0,13,6,6,1,1,0,10,14,PUNT
106226,4545,745143,NO,10,PUNT,4,1,4,8,6,4,1,2,0,28,1,33,5,3,0,0,61,ENDQ
106227,4546,745150,KC,1,KOFF,1,3,38,11,8,5,0,2,0,10,2,63,5,3,0,0,73,FG
106228,4546,745159,PHI,1,KOFF,1,6,54,26,11,4,1,3,0,21,3,42,7,5,5,10,58,FG
106229,4546,745173,KC,2,KOFF,1,4,3,25,7,2,0,2,0,3,2,33,5,3,0,0,36,PUNT
106230,4546,745181,PHI,2,PUNT,1,5,9,20,8,3,0,2,0,2,4,24,4,2,5,0,31,PUNT
106231,4546,745191,KC,3,PUNT,2,5,13,30,6,2,1,0,0,7,3,9,3,2,5,5,16,PUNT
106232,4546,745201,PHI,3,PUNT,2,2,38,7,6,2,0,1,0,6,1,1,5,1,0,0,7,PUNT
106233,4546,745208,KC,4,PUNT,2,1,19,37,3,0,0,0,0,2,1,0,2,1,0,0,2,PUNT
106234,4546,745212,KC,5,PUNT,2,0,49,76,4,0,0,0,0,0,0,3,3,1,0,0,3,FG
106235,4546,745217,PHI,4,KOFF,2,0,17,25,3,2,1,1,0,11,1,53,1,1,0,0,64,MFG
106236,4546,745221,PHI,5,KOFF,3,2,18,25,6,2,0,1,0,3,1,30,5,2,0,0,33,PUNT
106237,4546,745228,KC,6,PUNT,3,4,14,13,6,3,0,3,0,1,1,37,5,4,0,0,38,PUNT
106238,4546,745235,PHI,6,PUNT,3,4,20,19,7,7,1,5,0,11,2,70,5,5,0,0,81,TD
106239,4546,745244,KC,7,KOFF,3,2,48,17,5,4,2,1,0,64,3,19,2,2,0,15,83,TD
106240,4546,745251,PHI,7,KOFF,3,4,23,34,10,5,1,2,0,18,2,31,7,3,0,5,44,FG
106241,4546,745263,KC,8,KOFF,4,1,3,34,3,1,0,0,0,0,0,6,3,1,0,0,6,PUNT
106242,4546,745267,PHI,8,PUNT,4,1,38,20,4,1,1,0,0,11,2,0,2,0,0,0,11,INT
106243,4546,745271,KC,9,INT,4,2,51,69,5,4,1,1,0,4,2,27,3,3,0,0,31,TD
106244,4546,745278,PHI,9,KOFF,4,0,58,25,3,0,0,0,0,0,0,-3,3,0,0,0,-3,PUNT
106245,4546,745282,KC,10,PUNT,4,3,13,44,6,5,2,1,0,21,5,35,1,1,0,0,56,TD
106246,4546,745290,PHI,10,KOFF,4,2,9,25,13,7,1,4,0,24,1,51,12,6,0,0,75,TD
106247,4546,745305,PHI,11,KOFF,4,0,5,61,1,0,0,0,0,0,0,0,1,0,0,0,0,ENDQ
106248,4547,745307,TEN,1,KOFF,1,1,35,25,3,0,0,0,0,3,2,0,1,0,0,0,3,PUNT
106249,4547,745311,JAC,1,PUNT,1,6,1,24,12,7,2,1,0,27,7,24,4,2,0,0,51,FG
106250,4547,745324,TEN,2,KOFF,1,5,8,25,11,7,0,3,0,19,4,34,6,3,0,0,53,FG
106251,4547,745336,JAC,2,KOFF,1,1,29,25,3,1,0,0,0,4,2,0,1,0,0,0,4,PUNT
