uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
46103,4544,JJ-0725,0,0,0,0,0,0,0,0,0,0,0,10
46104,4544,BR-1100,4,1,4,0,0,0,0,0,0,0,0,0
46105,4544,JS-4750,0,0,0,0,0,0,0,2,1,4,0,0
46106,4544,CH-0525,0,0,0,0,1,1,1,0,0,0,0,0
46107,4544,AB-3500,0,0,0,0,0,0,0,1,0,0,0,0
46108,4544,ER-0462,0,0,0,0,0,0,0,1,0,0,0,0
46109,4545,TB-2300,8,5,46,0,1,0,7,0,0,0,0,0
46110,4545,RB-4670,0,0,0,0,0,0,0,1,1,19,0,0
46111,4545,MG-0650,0,0,0,0,5,2,14,0,0,0,0,0
46112,4545,CH-3350,0,0,0,0,0,0,0,3,2,19,0,0
46113,4545,AP-0700,0,0,0,0,1,1,6,0,0,0,0,0
46114,4545,DB-3800,8,5,26,0,0,0,0,0,0,0,0,5
46115,4545,MT-0875,0,0,0,0,0,0,0,2,0,0,0,0
46116,4545,JH-4070,0,0,0,0,0,0,0,1,1,6,0,0
46117,4545,BC-1850,0,0,0,0,0,0,0,1,1,5,0,0
46118,4545,MI-0100,0,0,0,0,1,0,2,1,1,6,0,0
46119,4545,TG-0900,0,0,0,0,0,0,0,2,1,5,0,0
46120,4545,JW-2550,0,0,0,0,0,0,0,1,1,1,0,0
46121,4545,RG-2200,0,0,0,0,0,0,0,1,0,0,0,0
46122,4545,DL-1700,0,0,0,0,1,0,1,0,0,0,0,0
46123,4545,DA-0850,0,0,0,0,0,0,0,1,0,0,0,0
46124,4545,PD-0800,0,0,0,0,0,0,0,1,1,7,0,0
46125,4545,CF-0650,0,0,0,0,0,0,0,1,1,4,0,0
46126,4545,BC-2325,0,0,0,0,0,0,0,0,0,0,0,5
46127,4546,AS-1600,3,2,20,0,0,0,0,0,0,0,0,0
46128,4546,TK-0150,0,0,0,0,0,0,0,3,2,20,0,0
46129,4546,CW-1425,8,4,35,0,0,0,0,0,0,0,0,0
46130,4546,LB-0500,0,0,0,0,0,0,0,1,1,0,0,0
46131,4546,TS-2300,0,0,0,0,0,0,0,1,0,0,0,0
46132,4546,DS-3300,0,0,0,0,2,1,6,1,0,0,0,0
46133,4546,WS-0650,0,0,0,0,0,0,0,1,0,0,0,0
46134,4546,AJ-0430,0,0,0,0,0,0,0,2,1,16,0,0
46135,4546,KH-2850,0,0,0,0,3,3,17,0,0,0,0,0
46136,4546,ZE-0100,0,0,0,0,0,0,0,1,1,10,0,0
46137,4546,NA-0050,0,0,0,0,0,0,0,1,1,9,0,0
46138,4547,MM-0912,4,1,8,0,1,1,8,0,0,0,0,0
46139,4547,DM-4300,0,0,0,0,1,0,3,0,0,0,0,0
46140,4547,RM-1500,0,0,0,0,0,0,0,2,1,8,0,0
46141,4547,DH-2450,0,0,0,0,5,5,38,0,0,0,0,0
46142,4547,DW-0500,0,0,0,0,1,1,1,0,0,0,0,0
46143,4547,BB-2425,2,2,16,0,1,1,6,0,0,0,0,0
46144,4547,LF-0650,0,0,0,0,1,1,1,0,0,0,0,0
46145,4547,JF-2950,0,0,0,0,1,1,3,0,0,0,0,0
46146,4547,AH-3900,0,0,0,0,0,0,0,2,2,16,0,0
46147,4548,JL-0215,1,0,0,0,0,0,0,3,2,0,0,0
46148,4548,KS-2350,0,0,0,0,0,0,0,1,0,0,0,0
46149,4548,JA-0450,0,0,0,0,4,0,6,0,0,0,0,0
46150,4548,JC-6200,4,2,0,0,0,0,0,0,0,0,0,0
46151,4548,DW-1750,0,0,0,0,1,0,0,0,0,0,0,0
46152,4548,MG-1150,0,0,0,0,1,1,1,1,0,0,0,0
46153,4548,PR-0300,4,2,18,0,0,0,0,0,0,0,0,0
46154,4548,HH-0225,0,0,0,0,0,0,0,1,1,11,0,0
46155,4548,AG-0500,0,0,0,0,0,0,0,2,1,7,0,0
46156,4548,DP-0350,0,0,0,0,0,0,0,1,0,0,0,0
46157,4549,DC-0725,7,6,29,0,0,0,0,0,0,0,0,5
46158,4549,SR-0750,0,0,0,0,0,0,0,1,0,0,0,0
46159,4549,JC-4300,0,0,0,0,0,0,0,1,1,6,0,0
46160,4549,DW-1350,0,0,0,0,0,0,0,2,2,14,0,0
46161,4549,MC-2900,0,0,0,0,0,0,0,2,2,3,0,0
46162,4549,ML-2500,0,0,0,0,3,1,4,0,0,0,0,0
46163,4549,JM-2900,3,1,11,0,0,0,0,0,0,0,0,5
46164,4549,RA-1125,0,0,0,0,0,0,0,1,0,0,0,0
46165,4549,BP-1200,0,0,0,0,0,0,0,1,0,0,0,0
46166,4549,JK-0250,0,0,0,0,0,0,0,1,1,11,0,0
46167,4549,CP-0750,0,0,0,0,0,0,0,1,1,6,0,0
46168,4549,JR-2075,0,0,0,0,2,0,0,0,0,0,0,0
46169,4550,TS-1450,8,6,47,0,1,1,6,0,0,0,0,0
46170,4550,CA-0750,0,0,0,0,5,1,7,2,2,24,0,0
46171,4550,ES-0200,0,0,0,0,0,0,0,3,3,21,0,0
46172,4550,EE-0250,0,0,0,0,1,0,0,0,0,0,0,0
46173,4550,DP-2037,8,3,18,1,1,0,11,0,0,0,0,0
46174,4550,DB-5300,0,0,0,0,0,0,0,3,1,3,0,0
46175,4550,BF-0950,0,0,0,0,0,0,0,1,0,0,0,0
46176,4550,VG-0300,0,0,0,0,0,0,0,2,1,2,0,0
46177,4550,JC-2300,0,0,0,0,1,1,5,0,0,0,0,0
46178,4550,JW-6000,0,0,0,0,0,0,0,3,2,15,0,0
46179,4550,CB-1130,0,0,0,0,0,0,0,1,0,0,0,0
46180,4551,TR-0112,0,0,0,0,2,0,-4,0,0,0,0,0
46181,4551,RW-3850,7,3,17,0,0,0,0,0,0,0,0,0
46182,4551,CP-2550,0,0,0,0,0,0,0,1,0,0,0,0
46183,4551,DB-0500,0,0,0,0,0,0,0,2,1,2,0,0
46184,4551,TL-1025,0,0,0,0,0,0,0,1,1,6,0,0
46185,4551,TM-1787,0,0,0,0,0,0,0,1,0,0,0,0
46186,4551,BH-1900,4,0,0,0,0,0,0,0,0,0,0,0
46187,4551,PG-0100,0,0,0,0,0,0,0,2,0,0,0,0
46188,4551,TT-0450,0,0,0,0,0,0,0,1,0,0,0,0
46189,4551,CH-5000,0,0,0,0,1,1,4,0,0,0,0,0
