uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
46190,4551,MG-1050,0,0,0,0,0,0,0,1,0,0,0,0
46191,4551,CC-0750,0,0,0,0,1,0,3,1,0,0,0,0
46192,4551,PR-0150,0,0,0,0,0,0,0,1,1,9,0,0
46193,4552,RK-0150,0,0,0,0,2,1,5,0,0,0,0,0
46194,4552,CT-1220,0,0,0,0,1,1,7,1,0,0,0,0
46195,4552,KC-2350,3,1,11,0,0,0,0,0,0,0,0,0
46196,4552,JD-2350,0,0,0,0,0,0,0,1,0,0,0,0
46197,4552,JG-1850,3,3,19,0,2,0,2,0,0,0,0,0
46198,4552,CK-1300,0,0,0,0,0,0,0,1,1,5,0,0
46199,4552,TG-1950,0,0,0,0,3,1,4,1,1,18,0,0
46200,4552,MB-3862,0,0,0,0,0,0,0,1,1,-4,0,0
46201,4552,RW-4050,0,0,0,0,0,0,0,0,0,0,0,10
46202,4552,SP-0825,0,0,0,0,5,0,11,0,0,0,0,0
46203,4552,RG-1650,0,0,0,0,0,0,0,1,1,11,0,0
46204,4553,MR-2500,4,3,13,0,0,0,0,0,0,0,0,0
46205,4553,DF-1875,0,0,0,0,2,2,3,1,1,6,0,0
46206,4553,TG-0025,0,0,0,0,1,1,7,0,0,0,0,0
46207,4553,TC-2050,0,0,0,0,1,1,2,1,1,3,0,0
46208,4553,TM-3150,0,0,0,0,1,1,1,1,1,1,0,0
46209,4553,JJ-4700,0,0,0,0,0,0,0,1,0,0,0,0
46210,4553,AH-3650,0,0,0,0,0,0,0,1,1,4,0,0
46211,4553,JW-3650,0,0,0,0,1,1,4,0,0,0,0,0
46212,4553,AR-1300,4,3,28,0,0,0,0,0,0,0,0,0
46213,4553,RC-1500,0,0,0,0,0,0,0,2,1,10,0,0
46214,4553,GA-0250,0,0,0,0,0,0,0,0,0,0,0,10
46215,4553,DA-0212,0,0,0,0,0,0,0,1,1,17,0,0
46216,4554,EM-0200,4,3,42,0,0,0,0,0,0,0,0,5
46217,4554,EE-0400,0,0,0,0,0,0,0,2,2,25,0,15
46218,4554,DW-1550,0,0,0,0,2,1,4,0,0,0,0,0
46219,4554,MS-4100,1,1,7,0,0,0,0,0,0,0,0,0
46220,4554,EE-0050,0,0,0,0,0,0,0,1,1,7,0,0
46221,4554,BM-0300,0,0,0,0,0,0,0,1,1,17,0,0
46222,4554,SS-1250,0,0,0,0,0,0,0,1,0,0,0,0
46223,4554,SV-0200,0,0,0,0,1,0,2,0,0,0,0,0
46224,4555,TG-1950,0,0,0,0,8,3,12,2,2,10,0,0
46225,4555,CH-5000,0,0,0,0,12,6,27,1,1,5,0,0
46226,4555,BH-1900,10,6,38,0,1,1,9,0,0,0,0,0
46227,4555,AR-1200,0,0,0,0,0,0,0,1,0,0,0,0
46228,4555,PG-0100,0,0,0,0,0,0,0,1,1,6,0,0
46229,4555,JG-1850,7,7,45,0,1,0,-1,0,0,0,0,0
46230,4555,KJ-1400,0,0,0,0,0,0,0,0,0,0,0,10
46231,4555,GK-0075,0,0,0,0,0,0,0,1,0,0,0,0
46232,4555,RW-4050,0,0,0,0,0,0,0,1,1,13,0,0
46233,4555,TH-1550,0,0,0,0,0,0,0,1,1,4,0,0
46234,4555,CK-1300,0,0,0,0,0,0,0,1,1,4,0,0
46235,4555,TA-1050,0,0,0,0,3,2,14,0,0,0,0,0
46236,4555,SW-0450,0,0,0,0,0,0,0,2,2,14,0,0
46237,4555,TT-0450,0,0,0,0,0,0,0,2,2,14,0,0
46238,4555,GC-0350,0,0,0,0,0,0,0,2,1,1,0,0
46239,4555,MG-1050,0,0,0,0,0,0,0,2,1,12,0,0
46240,4556,BB-2425,9,4,32,0,2,1,16,0,0,0,0,0
46241,4556,ML-1500,0,0,0,0,0,0,0,3,2,21,0,0
46242,4556,CI-0300,0,0,0,0,1,0,-2,0,0,0,0,0
46243,4556,LF-0650,0,0,0,0,4,1,5,0,0,0,0,0
46244,4556,ML-0650,0,0,0,0,0,0,0,2,0,0,0,0
46245,4556,AH-3900,0,0,0,0,0,0,0,2,2,11,0,0
46246,4556,KC-1550,0,0,0,0,0,0,0,1,0,0,0,0
46247,4556,MC-0150,0,0,0,0,1,1,7,0,0,0,0,0
46248,4556,JA-1025,0,0,0,0,1,0,-1,0,0,0,0,0
46249,4556,RM-0300,1,1,6,0,0,0,0,0,0,0,0,0
46250,4556,BW-0700,0,0,0,0,0,0,0,1,1,6,0,0
46251,4557,MR-2500,6,4,35,1,0,0,0,0,0,0,0,0
46252,4557,JJ-4700,0,0,0,0,0,0,0,1,0,0,0,0
46253,4557,DF-1875,0,0,0,0,6,3,13,2,2,22,0,0
46254,4557,MS-0150,0,0,0,0,0,0,0,2,1,4,0,0
46255,4557,AH-3650,0,0,0,0,0,0,0,1,1,9,0,5
46256,4557,MS-4100,8,3,17,0,0,0,0,0,0,0,0,0
46257,4557,AA-0025,0,0,0,0,0,0,0,1,1,6,0,0
46258,4557,ZZ-0100,0,0,0,0,1,0,3,0,0,0,0,0
46259,4557,GT-0100,0,0,0,0,0,0,0,2,2,11,0,0
46260,4557,KG-0650,0,0,0,0,0,0,0,2,0,0,0,0
46261,4557,EE-0050,0,0,0,0,0,0,0,2,0,0,0,0
46262,4557,TR-0370,0,0,0,0,0,0,0,1,0,0,0,0
46263,4558,JB-5725,3,2,12,0,2,2,12,0,0,0,0,0
46264,4558,JD-2550,0,0,0,0,0,0,0,1,0,0,0,0
46265,4558,DJ-1850,0,0,0,0,1,1,19,0,0,0,0,0
46266,4558,FG-0200,0,0,0,0,3,2,11,0,0,0,0,0
46267,4558,TH-1850,0,0,0,0,0,0,0,2,2,12,0,0
46268,4558,DK-0875,3,2,12,1,2,2,13,0,0,0,0,0
46269,4558,DN-1225,0,0,0,0,0,0,0,1,1,1,0,0
46270,4558,KW-1175,0,0,0,0,0,0,0,1,0,0,0,0
46271,4558,KB-1900,0,0,0,0,0,0,0,1,1,11,0,0
46272,4559,TS-1450,4,1,5,0,0,0,0,0,0,0,0,0
46273,4559,CL-0275,0,0,0,0,0,0,0,1,0,0,0,0
46274,4559,TT-0500,4,3,14,0,1,0,3,0,0,0,0,0
46275,4559,CC-2100,0,0,0,0,0,0,0,2,2,12,0,0
46276,4559,LM-1000,0,0,0,0,4,2,4,0,0,0,0,0
46277,4559,MT-1300,0,0,0,0,3,2,8,1,0,0,0,0
